dataset,resolution,N_points,num_samples,mse_normalized,rel_l1,rel_l2,mse,gaot_rel_l1
validation,32x32,1024,1750,0.06727274090124827,48.10185739463568,52.43141906437704,9.303093064939968e+29,0.20636574923992157
validation,64x32,2048,1400,1.0254295335334194,61.07305801446949,80.64272516910519,1.6280189129059866e+31,0.3424098491668701
validation,128x32,4096,2100,0.4537962558220274,38.04803387224674,63.869757873501094,3.100567139831638e+30,0.45687898993492126
validation,128x128,16384,525,0.03401446599956779,34.981612313361396,49.4188938884508,1.077615611694635e+29,0.364312082529068
validation,256x256,65536,90,0.017420603640170562,201.28706276151868,285.7207683139377,3.777984962864774e+28,0.2662166357040405
validation,OVERALL,-1,5865,0.4306438584360814,48.77452428058641,66.57136889572898,5.284138459808234e+30,0.3490704298019409
test,32x32,1024,12250,0.07389995270749858,49.72980108956658,55.51501792825972,1.1605228710701017e+30,0.19080223143100739
test,64x32,2048,9625,0.5587751651593037,64.3709397170265,86.4682941975222,1.1363019595570706e+31,0.3524085283279419
test,128x32,4096,14875,0.26737274284886214,54.200737836789685,91.93103760957317,1.7449741732788556e+30,0.44600147008895874
test,128x128,16384,2100,0.2767029314191036,51.417571321725845,70.02304546026957,1.5446476505949335e+30,0.3968793749809265
test,256x256,65536,282,0.014491890646279492,55.44128644889128,89.24134470892291,3.986330744722376e+28,0.2614450454711914
test,OVERALL,-1,39132,0.2771598130518335,55.16221189819148,77.99256210746233,3.9046550425342236e+30,0.3505152463912964
