dataset,resolution,N_points,num_samples,mse_normalized,rel_l1,rel_l2,mse,gaot_rel_l1
validation,32x32,1024,1750,0.09760528641047754,42.257955925992555,53.168289864156925,1.6666416829267188e+30,0.25741028785705566
validation,64x32,2048,1400,1.0603415579769562,43.095129719291414,61.876354853596006,1.889253885106159e+31,0.32295432686805725
validation,128x32,4096,2100,0.43615281920259197,26.929346161513102,43.684336392794336,3.2436864214510956e+30,0.41270512342453003
validation,128x128,16384,525,0.03176286399009682,24.924834136168162,36.95898373910359,9.776432331104435e+28,0.31302568316459656
validation,256x256,65536,90,0.01618402278723402,137.35551058981153,199.6893505414327,2.4703380496256907e+28,0.22637109458446503
validation,OVERALL,-1,5865,0.44149026740957703,36.87702733013534,52.64859650365481,6.177573468992028e+30,0.3429935574531555
test,32x32,1024,12250,0.11702319049033127,43.899184308521605,56.58466671553558,2.1354871847656015e+30,0.23512093722820282
test,64x32,2048,9625,0.5739829717079395,45.38453146506594,66.26344023207875,1.249865796728908e+31,0.32482990622520447
test,128x32,4096,14875,0.2569579460495347,37.49053361075265,62.45161690310069,1.775494256646383e+30,0.39426398277282715
test,128x128,16384,2100,0.25759551916049706,35.199955480609624,50.85149384101232,1.4336367861746706e+30,0.3414723873138428
test,256x256,65536,282,0.012768525977004716,40.80399056698413,65.6260365831091,2.654406586344435e+28,0.21682357788085938
test,OVERALL,-1,39132,0.28940307033233326,41.33929884595126,60.95293520175954,4.4947332283985295e+30,0.33913180232048035
