dataset,resolution,N_points,num_samples,mse_normalized,rel_l1,rel_l2,mse,gaot_rel_l1
validation,32x32,1024,1750,0.27795203215602254,52.81480477455684,76.66608772281238,2.757265453759732e+30,0.35049185156822205
validation,64x32,2048,1400,1.9980975458085803,46.89050014896052,63.74851509047406,3.4595525128715045e+31,0.42107194662094116
validation,128x32,4096,2100,0.6912256022837634,41.9502839636235,63.832711945005826,6.08088064975241e+30,0.5014744997024536
validation,128x128,16384,525,0.03762541972189432,30.58354352054142,39.481969074067614,1.6895789077469718e+29,0.35111814737319946
validation,256x256,65536,90,0.016937423611266746,200.57035204039678,271.4814862516191,2.6230371721297724e+28,0.33061692118644714
validation,OVERALL,-1,5865,0.8110151915907866,47.78787671262549,68.64853150087447,1.1273633881478652e+31,0.4496566355228424
test,32x32,1024,12250,0.35248423138971685,53.59966066121569,79.3902679030287,3.71905749303231e+30,0.34653985500335693
test,64x32,2048,9625,0.9831532731584527,49.276832100081755,67.47950331054415,2.0136171024746948e+31,0.4266631603240967
test,128x32,4096,14875,0.38361563999935233,61.73542480780097,98.01791775922214,3.1008689859716755e+30,0.4828279912471771
test,128x128,16384,2100,0.3279737387251641,49.139855325136864,63.71727254612105,1.8539653982623122e+30,0.4045111835002899
test,256x256,65536,282,0.013560275228509137,49.22403938888658,68.03807071252918,2.840181457781862e+28,0.30975937843322754
test,OVERALL,-1,39132,0.51568111986614,55.35813838724501,82.61858673546729,7.395376244945969e+30,0.44185951352119446
